"site","origin_site","unique.cage","d.lgdL.pg"
"Persisting 2 (Cold + Wet)","Persisting 1 (Cold + Dry)","Persisting 2 (Cold + Wet)_6",1.27632711725437
"Extirpated (Warm + Wet)","Persisting 1 (Cold + Dry)","Extirpated (Warm + Wet)_6",1.75176178036404
"Extirpated (Warm + Wet)","Persisting 1 (Cold + Dry)","Extirpated (Warm + Wet)_10",2.2354256533993
"Extirpated (Warm + Wet)","Persisting 1 (Cold + Dry)","Extirpated (Warm + Wet)_8",2.04601189609517
"Persisting 2 (Cold + Wet)","Persisting 1 (Cold + Dry)","Persisting 2 (Cold + Wet)_8",1.1042501991563
"Persisting 1 (Cold + Dry)","Persisting 1 (Cold + Dry)","Persisting 1 (Cold + Dry)_5",1.25612917408941
"Extirpated (Warm + Wet)","Persisting 1 (Cold + Dry)","Extirpated (Warm + Wet)_8",1.82130291985273
"Persisting 2 (Cold + Wet)","Persisting 1 (Cold + Dry)","Persisting 2 (Cold + Wet)_4",1.97590762183398
"Persisting 1 (Cold + Dry)","Persisting 1 (Cold + Dry)","Persisting 1 (Cold + Dry)_7",0.884810368649058
"Extirpated (Warm + Wet)","Persisting 1 (Cold + Dry)","Extirpated (Warm + Wet)_3",2.53758421546689
"Persisting 2 (Cold + Wet)","Persisting 1 (Cold + Dry)","Persisting 2 (Cold + Wet)_4",0.51539367132404
"Extirpated (Warm + Wet)","Persisting 1 (Cold + Dry)","Extirpated (Warm + Wet)_2",2.11829748382242
"Extirpated (Warm + Wet)","Persisting 1 (Cold + Dry)","Extirpated (Warm + Wet)_6",2.40240081589731
"Extirpated (Warm + Wet)","Persisting 1 (Cold + Dry)","Extirpated (Warm + Wet)_10",3.24476135535845
"Persisting 2 (Cold + Wet)","Persisting 1 (Cold + Dry)","Persisting 2 (Cold + Wet)_2",0.927581222497969
"Extirpated (Warm + Wet)","Persisting 1 (Cold + Dry)","Extirpated (Warm + Wet)_3",2.41543248351549
"Extirpated (Warm + Wet)","Persisting 1 (Cold + Dry)","Extirpated (Warm + Wet)_3",3.03195746689731
"Persisting 2 (Cold + Wet)","Persisting 1 (Cold + Dry)","Persisting 2 (Cold + Wet)_2",1.29158354667058
"Persisting 2 (Cold + Wet)","Persisting 1 (Cold + Dry)","Persisting 2 (Cold + Wet)_6",1.26514445953741
"Persisting 2 (Cold + Wet)","Persisting 1 (Cold + Dry)","Persisting 2 (Cold + Wet)_4",1.18646429881909
"Persisting 2 (Cold + Wet)","Persisting 1 (Cold + Dry)","Persisting 2 (Cold + Wet)_10",1.17509097009653
"Extirpated (Warm + Wet)","Persisting 1 (Cold + Dry)","Extirpated (Warm + Wet)_10",1.20360367974764
"Persisting 2 (Cold + Wet)","Persisting 1 (Cold + Dry)","Persisting 2 (Cold + Wet)_10",1.6874792954186
"Persisting 2 (Cold + Wet)","Persisting 1 (Cold + Dry)","Persisting 2 (Cold + Wet)_10",1.73386554811985
"Persisting 2 (Cold + Wet)","Persisting 1 (Cold + Dry)","Persisting 2 (Cold + Wet)_8",1
"Persisting 1 (Cold + Dry)","Persisting 1 (Cold + Dry)","Persisting 1 (Cold + Dry)_7",1.08957269601261
"Persisting 2 (Cold + Wet)","Persisting 1 (Cold + Dry)","Persisting 2 (Cold + Wet)_8",1.99736246258871
"Persisting 2 (Cold + Wet)","Persisting 1 (Cold + Dry)","Persisting 2 (Cold + Wet)_2",1.65243473944519
"Extirpated (Warm + Wet)","Persisting 1 (Cold + Dry)","Extirpated (Warm + Wet)_2",2.69011975891911
"Persisting 1 (Cold + Dry)","Persisting 1 (Cold + Dry)","Persisting 1 (Cold + Dry)_9",1.48825550022306
